Virtual address: 16916, Physical address: 0, Value: 0
Virtual address: 62493, Physical address: 29, Value: 0
Virtual address: 30198, Physical address: 492, Value: 14
Virtual address: 53683, Physical address: 537, Value: 108
Virtual address: 40185, Physical address: 996, Value: 0
Virtual address: 28781, Physical address: 545, Value: 0
Virtual address: 24462, Physical address: 852, Value: 51
Virtual address: 48399, Physical address: 105, Value: 67
Virtual address: 64815, Physical address: 376, Value: 75
Virtual address: 18295, Physical address: 1071, Value: -35
Virtual address: 12218, Physical address: 1860, Value: 51
Virtual address: 22760, Physical address: 2552, Value: 0
Virtual address: 57982, Physical address: 1512, Value: 22
Virtual address: 27966, Physical address: 806, Value: 12
Virtual address: 54894, Physical address: 1540, Value: 19
Virtual address: 38929, Physical address: 255, Value: 0
Virtual address: 32865, Physical address: 1552, Value: 0
Virtual address: 64243, Physical address: 4131, Value: -4
Virtual address: 2315, Physical address: 198, Value: 66
Virtual address: 64454, Physical address: 3762, Value: 20
Virtual address: 55041, Physical address: 20, Value: 0
Virtual address: 18633, Physical address: 4221, Value: 0
Virtual address: 14557, Physical address: 4862, Value: 0
Virtual address: 61006, Physical address: 1794, Value: 40
Virtual address: 62615, Physical address: 151, Value: -91
Virtual address: 7591, Physical address: 4008, Value: 41
Virtual address: 64747, Physical address: 5875, Value: 122
Virtual address: 6727, Physical address: 1846, Value: 17
Virtual address: 32315, Physical address: 1593, Value: 14
Virtual address: 60645, Physical address: 6412, Value: 0
Virtual address: 6308, Physical address: 4756, Value: 0
Virtual address: 45688, Physical address: 3600, Value: 0
Virtual address: 969, Physical address: 6231, Value: 0
Virtual address: 40891, Physical address: 5984, Value: -18
Virtual address: 49294, Physical address: 4686, Value: 28
Virtual address: 41118, Physical address: 5372, Value: 11
Virtual address: 21395, Physical address: 5145, Value: 100
Virtual address: 6091, Physical address: 7308, Value: -14
Virtual address: 32541, Physical address: 1073, Value: 0
Virtual address: 17665, Physical address: 38, Value: 0
Virtual address: 3784, Physical address: 7800, Value: 0
Virtual address: 28718, Physical address: 230, Value: 56
Virtual address: 59240, Physical address: 4160, Value: 0
Virtual address: 40178, Physical address: 968, Value: 7
Virtual address: 60086, Physical address: 7462, Value: 38
Virtual address: 42252, Physical address: 504, Value: 0
Virtual address: 44770, Physical address: 9718, Value: 34
Virtual address: 22514, Physical address: 10648, Value: 26
Virtual address: 3067, Physical address: 11295, Value: -66
Virtual address: 15757, Physical address: 6486, Value: 0
Virtual address: 31649, Physical address: 7567, Value: 0
Virtual address: 10842, Physical address: 4320, Value: 11
Virtual address: 43765, Physical address: 12005, Value: 0
Virtual address: 33405, Physical address: 6250, Value: 0
Virtual address: 44954, Physical address: 7854, Value: 44
Virtual address: 56657, Physical address: 4212, Value: 0
Virtual address: 5003, Physical address: 7367, Value: 98
Virtual address: 50227, Physical address: 2754, Value: -52
Virtual address: 19358, Physical address: 8690, Value: 37
Virtual address: 36529, Physical address: 9912, Value: 0
Virtual address: 10392, Physical address: 8664, Value: 0
Virtual address: 58882, Physical address: 116, Value: 51
Virtual address: 5129, Physical address: 531, Value: 0
Virtual address: 58554, Physical address: 11160, Value: 8
Virtual address: 58584, Physical address: 12960, Value: 0
Virtual address: 27444, Physical address: 3172, Value: 0
Virtual address: 58982, Physical address: 5916, Value: 51
Virtual address: 51476, Physical address: 1240, Value: 0
Virtual address: 6796, Physical address: 3640, Value: 0
Virtual address: 21311, Physical address: 2205, Value: 79
Virtual address: 30705, Physical address: 15183, Value: 0
Virtual address: 28964, Physical address: 2304, Value: 0
Virtual address: 41003, Physical address: 1462, Value: 10
Virtual address: 20259, Physical address: 2275, Value: -120
Virtual address: 57857, Physical address: 12, Value: 0
Virtual address: 63258, Physical address: 1716, Value: 31
Virtual address: 36374, Physical address: 1232, Value: 7
Virtual address: 692, Physical address: 12060, Value: 0
Virtual address: 43121, Physical address: 7684, Value: 0
Virtual address: 48128, Physical address: 0, Value: 0
Virtual address: 34561, Physical address: 70, Value: 0
Virtual address: 49213, Physical address: 2013, Value: 0
Virtual address: 36922, Physical address: 4118, Value: 44
Virtual address: 59162, Physical address: 1040, Value: 6
Virtual address: 50552, Physical address: 8640, Value: 0
Virtual address: 17866, Physical address: 7676, Value: 25
Virtual address: 18145, Physical address: 16425, Value: 0
Virtual address: 3884, Physical address: 3256, Value: 0
Virtual address: 54388, Physical address: 8700, Value: 0
Virtual address: 42932, Physical address: 13680, Value: 0
Virtual address: 46919, Physical address: 5467, Value: 17
Virtual address: 58892, Physical address: 696, Value: 0
Virtual address: 8620, Physical address: 13416, Value: 0
Virtual address: 38336, Physical address: 15168, Value: 0
Virtual address: 64357, Physical address: 1919, Value: 0
Virtual address: 23387, Physical address: 7280, Value: -42
Virtual address: 42632, Physical address: 11016, Value: 0
Virtual address: 15913, Physical address: 3362, Value: 0
Virtual address: 15679, Physical address: 2898, Value: 79
Virtual address: 22501, Physical address: 10076, Value: 0
Virtual address: 37540, Physical address: 13612, Value: 0
Virtual address: 5527, Physical address: 12684, Value: -27
Virtual address: 63921, Physical address: 15045, Value: 0
Virtual address: 62716, Physical address: 252, Value: 0
Virtual address: 32874, Physical address: 1696, Value: 28
Virtual address: 64390, Physical address: 2546, Value: 20
Virtual address: 63101, Physical address: 10750, Value: 0
Virtual address: 61802, Physical address: 9222, Value: 57
Virtual address: 19648, Physical address: 16896, Value: 0
Virtual address: 29031, Physical address: 6592, Value: 89
Virtual address: 44981, Physical address: 9231, Value: 0
Virtual address: 28092, Physical address: 2444, Value: 0
Virtual address: 9448, Physical address: 20648, Value: 0
Virtual address: 44744, Physical address: 8600, Value: 0
Virtual address: 61496, Physical address: 5040, Value: 0
Virtual address: 31453, Physical address: 20111, Value: 0
Virtual address: 60746, Physical address: 6808, Value: 46
Virtual address: 12199, Physical address: 1670, Value: -23
Virtual address: 62255, Physical address: 4371, Value: 75
Virtual address: 21793, Physical address: 3102, Value: 0
Virtual address: 26544, Physical address: 16720, Value: 0
Virtual address: 14964, Physical address: 11136, Value: 0
Virtual address: 41462, Physical address: 23862, Value: 58
Virtual address: 56089, Physical address: 2450, Value: 0
Virtual address: 52038, Physical address: 6930, Value: 53
Virtual address: 47982, Physical address: 11000, Value: 54
Virtual address: 59484, Physical address: 9292, Value: 0
Virtual address: 50924, Physical address: 24072, Value: 0
Virtual address: 6942, Physical address: 3090, Value: 48
Virtual address: 34998, Physical address: 18928, Value: 9
Virtual address: 27069, Physical address: 19845, Value: 0
Virtual address: 51926, Physical address: 22684, Value: 54
Virtual address: 60645, Physical address: 6412, Value: 0
Virtual address: 43181, Physical address: 11764, Value: 0
